Name of fjord,Length (km/mi),County,Municipality,Coordinates
"Folda, Nord-Trøndelag",75 km (47 mi),Trøndelag,"Flatanger, Fosnes, Namsos, Nærøy",64°40′54″N 11°05′51″E﻿ / ﻿64.6817°N 11.0976°E
Forfjord,6.5 km (4.0 mi),Nordland,"Andøy, Sortland",68°50′04″N 15°34′27″E﻿ / ﻿68.8344°N 15.5742°E
Fossingfjord,3 km (1.9 mi),Telemark,"Bamble, Kragerø",68°50′04″N 15°34′27″E﻿ / ﻿68.8344°N 15.5742°E
Freifjorden,14 km (8.7 mi),Møre og Romsdal,"Gjemnes, Kristiansund, Tingvoll",63°02′48″N 7°53′10″E﻿ / ﻿63.0466°N 7.8862°E
Frierfjord,14 km (8.7 mi),Telemark,"Bamble, Skien, Porsgrunn",59°05′57″N 9°37′06″E﻿ / ﻿59.0993°N 9.6184°E
Frænfjorden,12 km (7.5 mi),Møre og Romsdal,Fræna,62°49′51″N 7°00′04″E﻿ / ﻿62.8308°N 7.0012°E
Frøyfjorden,25 km (16 mi),Trøndelag,"Frøya, Hitra",63°37′48″N 8°24′27″E﻿ / ﻿63.6301°N 8.4074°E
Fusafjorden,12 km (7.5 mi),Hordaland,"Fusa, Os",60°13′21″N 5°33′57″E﻿ / ﻿60.2225°N 5.5658°E
Fættenfjord,2 km (1.2 mi),Trøndelag,"Levanger, Stjørdal",63°33′33″N 10°55′31″E﻿ / ﻿63.5593°N 10.9252°E
Førdefjorden,36 km (22 mi),Sogn og Fjordane,"Askvoll, Førde, Flora, Naustdal",61°28′56″N 5°18′31″E﻿ / ﻿61.4823°N 5.3086°E
Gandsfjord,15 km (9.3 mi),Rogaland,"Sandnes, Stavanger",58°53′25″N 5°45′47″E﻿ / ﻿58.8902°N 5.7630°E
Gapafjord,6 km (3.7 mi),Rogaland,Finnøy,59°15′52″N 5°54′28″E﻿ / ﻿59.2645°N 5.9078°E
Gardssundfjord,32 km (20 mi),Rogaland,"Finnøy, Hjelmeland",59°13′45″N 6°01′53″E﻿ / ﻿59.2292°N 6.0313°E
Geirangerfjord,15 km (9.3 mi),Møre og Romsdal,Stranda,62°07′16″N 7°07′44″E﻿ / ﻿62.1210°N 7.1290°E
Gratangen,20 km (12 mi),Troms,Gratangen,68°43′54″N 17°22′11″E﻿ / ﻿68.7317°N 17.3697°E
Grimstadfjord,5.5 km (3.4 mi),Hordaland,Bergen,60°19′22″N 5°12′41″E﻿ / ﻿60.3228°N 5.2115°E
Grindafjord,11 km (6.8 mi),Rogaland,"Tysvær, Vindafjord",59°26′26″N 5°28′48″E﻿ / ﻿59.4405°N 5.4800°E
Grønfjorden,16 km (9.9 mi),Svalbard,Spitsbergen,78°01′58″N 14°11′19″E﻿ / ﻿78.0328°N 14.1886°E
Gullesfjorden,35 km (22 mi),Troms,Kvæfjord,68°41′29″N 15°59′36″E﻿ / ﻿68.6913°N 15.9933°E
